,year,rank_bin,freq
0,2015,0.0,0.0
1,2015,0.1,8.0
2,2015,0.2,4.0
3,2015,0.3,12.0
4,2015,0.4,18.0
5,2015,0.5,18.0
6,2015,0.6,14.000000000000002
7,2015,0.7,25.0
8,2015,0.8,2.0
9,2015,0.9,0.0
10,2016,0.0,0.0
11,2016,0.1,12.0
12,2016,0.2,12.0
13,2016,0.3,15.0
14,2016,0.4,12.0
15,2016,0.5,12.0
16,2016,0.6,17.0
17,2016,0.7,17.0
18,2016,0.8,2.0
19,2016,0.9,0.0
20,2017,0.0,3.0
21,2017,0.1,21.0
22,2017,0.2,10.0
23,2017,0.3,16.0
24,2017,0.4,15.0
25,2017,0.5,11.0
26,2017,0.6,8.0
27,2017,0.7,10.0
28,2017,0.8,5.0
29,2017,0.9,0.0
30,2018,0.0,4.0
31,2018,0.1,21.0
32,2018,0.2,8.0
33,2018,0.3,14.000000000000002
34,2018,0.4,18.0
35,2018,0.5,12.0
36,2018,0.6,4.0
37,2018,0.7,18.0
38,2018,0.8,1.0
39,2018,0.9,0.0
40,2019,0.0,1.0
41,2019,0.1,24.0
42,2019,0.2,10.0
43,2019,0.3,15.0
44,2019,0.4,12.0
45,2019,0.5,16.0
46,2019,0.6,11.0
47,2019,0.7,7.000000000000001
48,2019,0.8,3.0
49,2019,0.9,0.0
50,2020,0.0,2.0
51,2020,0.1,14.000000000000002
52,2020,0.2,14.000000000000002
53,2020,0.3,11.0
54,2020,0.4,16.0
55,2020,0.5,13.0
56,2020,0.6,10.0
57,2020,0.7,16.0
58,2020,0.8,3.0
59,2020,0.9,0.0
60,2021,0.0,3.0
61,2021,0.1,18.0
62,2021,0.2,12.0
63,2021,0.3,19.0
64,2021,0.4,16.0
65,2021,0.5,18.0
66,2021,0.6,6.0
67,2021,0.7,6.0
68,2021,0.8,1.0
69,2021,0.9,1.0
70,2022,0.0,1.0
71,2022,0.1,13.0
72,2022,0.2,12.0
73,2022,0.3,18.0
74,2022,0.4,16.0
75,2022,0.5,16.0
76,2022,0.6,10.0
77,2022,0.7,10.0
78,2022,0.8,3.0
79,2022,0.9,1.0
80,2023,0.0,0.0
81,2023,0.1,18.0
82,2023,0.2,9.0
83,2023,0.3,20.0
84,2023,0.4,14.000000000000002
85,2023,0.5,18.0
86,2023,0.6,8.0
87,2023,0.7,13.0
88,2023,0.8,1.0
89,2023,0.9,0.0
